BSN;Schulname;Strasse;PLZ;Schulart;lat;lng;AlleLehrkraefte_2017;AlleQ_2017;AlleLehrkraefte_2018;AlleQS_2018;Q1_5_2018;Q6_x_2018;S1_5_2018;S6_x_2018
08G18;Eduard-Mörike-Schule (Grundschule);Stuttgarter Str. 35-39;12059;Grundschule;52.477969;13.450143;35;29 %;35;26 %;;26 %;;
08G19;Herman-Nohl-Schule (Grundschule);Hannemannstr. 69;12347;Grundschule;52.455159;13.43894;49;14 %;56;18 %;;16 %;2 %;
08G20;Sonnen-Schule (Grundschule);Dammweg 228;12057;Grundschule;52.47197;13.46714;31;16 %;36;28 %;;25 %;3 %;
08G21;Silberstein-Schule (Grundschule);Silbersteinstr. 42;12051;Grundschule;52.466965;13.434906;25;24 %;27;22 %;;22 %;;
08G22;Schule am Regenweiher (Grundschule);Johannisthaler Chaussee 328;12351;Grundschule;52.42985;13.45178;23;4 %;26;8 %;;;8 %;
08G23;Zürich-Schule (Grundschule);Wederstr. 49;12347;Grundschule;52.462585;13.439533;31;10 %;34;6 %;6 %;;;
08G24;Schule am Teltowkanal (Grundschule);Rungiusstr. 46;12347;Grundschule;52.45925;13.44063;28;7 %;30;17 %;17 %;;;
08G25;Michael-Ende-Schule (Grundschule);Neuhofer Str. 41;12355;Grundschule;52.41346;13.50984;25;8 %;;;;;;
08G26;Christoph-Ruden-Schule (Grundschule);An den Achterhöfen 13;12349;Grundschule;52.421067;13.435095;25;8 %;22;23 %;23 %;;;
08G27;Oskar-Heinroth-Schule (Grundschule);Rohrdommelweg 1;12359;Grundschule;52.44057;13.47209;31;0 %;36;8 %;8 %;;;
08G28;Matthias-Claudius-Schule (Grundschule);Köpenicker Str. 148;12355;Grundschule;52.420381;13.501675;27;4 %;27;15 %;11 %;;4 %;
08G29;Wetzlar-Schule (Grundschule);Tischlerzeile 34;12351;Grundschule;52.43092;13.44294;29;0 %;;;;;;
08G30;Schule am Sandsteinweg (Grundschule);Hornblendeweg 2;12349;Grundschule;52.41829;13.40469;48;2 %;47;8 %;4 %;;4 %;
08G31;Janusz-Korczak-Schule (Grundschule);Wildhüterweg 5;12353;Grundschule;52.42179;13.45659;20;5 %;21;19 %;14 %;;5 %;
08G33;Schule am Fliederbusch (Grundschule);Kornradenstr. 2;12357;Grundschule;52.42424;13.48673;20;15 %;27;19 %;19 %;;;
08G34;Lisa-Tetzner-Schule (Grundschule);Hasenhegerweg 12;12353;Grundschule;52.42254;13.44504;29;3 %;34;18 %;15 %;;3 %;
08G35;Schule in der Köllnischen Heide (Grundschule);Hänselstr. 6;12057;Grundschule;52.4666;13.4721;48;6 %;46;9 %;7 %;;2 %;
08G36;Löwenzahn-Schule (Grundschule);Drorystr. 3;12055;Grundschule;52.472499;13.448771;28;11 %;28;18 %;18 %;;;
08G37;Rose-Oehmichen-Schule (Grundschule);Lieselotte-Berger-Str. 65;12355;Grundschule;52.401126;13.501995;18;0 %;;;;;;
08K01;Walter-Gropius-Schule (Gemeinschaftsschule);Fritz-Erler-Allee 86;12351;Integrierte Sekundarschule;52.42934;13.46355;95;2 %;95;2 %;2 %;;;
08K02;Hermann-von-Helmholtz-Schule;Wutzkyallee 68;12353;Integrierte Sekundarschule;52.421823;13.472974;72;14 %;79;17 %;;16 %;1 %;
08K03;Otto-Hahn-Schule;Buschkrugallee 63;12359;Integrierte Sekundarschule;52.45809;13.449;74;7 %;79;8 %;5 %;;3 %;
08K04;Heinrich-Mann-Schule;Gerlinger Str. 22;12353;Integrierte Sekundarschule;52.41578;13.43231;40;15 %;42;12 %;12 %;;;
08K05;Clay-Schule;Bildhauerweg 9;12355;Integrierte Sekundarschule;52.41759;13.48999;105;4 %;109;5 %;5 %;;;
08K06;Fritz-Karsen-Schule (Gemeinschaftsschule);Onkel-Bräsig-Str. 76-78;12359;Integrierte Sekundarschule;52.44865;13.44389;117;5 %;125;9 %;;9 %;;
08K08;Gemeinschaftsschule auf dem Campus Rütli;Rütlistr. 41;12045;Integrierte Sekundarschule;52.487309;13.434226;85;0 %;94;3 %;1 %;;2 %;
08K09;Röntgen-Schule;Wildenbruchstr. 53;12435;Integrierte Sekundarschule;52.488886;13.449558;43;2 %;44;4 %;2 %;;2 %;
08K10;Zuckmayer-Schule;Kopfstr. 55;12053;Integrierte Sekundarschule;52.4761;13.43129;40;10 %;44;7 %;5 %;;2 %;
08K11;Alfred-Nobel-Schule;Britzer Damm 164;12347;Integrierte Sekundarschule;52.448;13.43469;55;4 %;58;10 %;;10 %;;
08K12;Kepler-Schule;Zwillingestr. 21;12057;Integrierte Sekundarschule;52.46737;13.46477;38;8 %;48;12 %;8 %;;4 %;
08K13;Gemeinschaftsschule Campus Efeuweg;Efeuweg 34;12357;Integrierte Sekundarschule;52.427206;13.47409;76;14 %;81;16 %;;14 %;2 %;
08S01;Adolf-Reichwein-Schule;Sonnenallee 188;12059;"Förderschwerp.""Lernen""";52.475733;13.450826;30;3 %;31;3 %;3 %;;;
08S04;Schule am Zwickauer Damm;Zwickauer Damm 17-22;12353;Integrierte Sekundarschule;52.422;13.48315;30;7 %;28;11 %;7 %;;4 %;
08S05;Schule am Hasenhegerweg;Hasenhegerweg 12;12353;"Förderschwerp.""Lernen""";52.42254;13.44504;13;0 %;13;15 %;15 %;;;
08S06;Hans-Fallada-Schule;Harzer Str. 73-74;12059;"Förderschwerp.""Lernen""";52.483564;13.451851;22;0 %;;;;;;
08S07;Schule am Bienwaldring;Breitunger Weg 1;12349;"Förderschwerp.""Geistige Entwicklung""";52.42178;13.42537;39;0 %;;;;;;
08S08;Schilling-Schule;Paster-Behrens-Str. 81;12359;Übrige Förderschwerpunkte;52.442637;13.444198;53;4 %;53;4 %;4 %;;;
08S09;Schule an der Windmühle;Buckower Damm 176;12349;Integrierte Sekundarschule;52.42741;13.43451;17;0 %;;;;;;
08Y01;Albrecht-Dürer-Gymnasium;Emser Str. 132-137;12051;Gymnasium;52.46947;13.43907;48;0 %;;;;;;
08Y02;Albert-Schweitzer-Gymnasium;Karl-Marx-Str. 14;12043;Gymnasium;52.4852;13.42649;55;2 %;54;9 %;7 %;;2 %;
08Y03;Albert-Einstein-Gymnasium;Parchimer Allee 109;12359;Gymnasium;52.44553;13.44245;101;1 %;;;;;;
08Y04;Ernst-Abbe-Gymnasium;Sonnenallee 79;12045;Gymnasium;52.48349;13.43711;47;4 %;49;6 %;6 %;;;
08Y05;Leonardo-da-Vinci-Gymnasium;Haewererweg 35;12349;Gymnasium;52.41623;13.42658;62;2 %;59;4 %;2 %;;2 %;
08Y06;Hannah-Arendt-Gymnasium;Elfriede-Kuhr-Str. 17;12355;Gymnasium;52.40411;13.508639;60;3 %;61;2 %;2 %;;;
09A05;Treptow-Kolleg;Kiefholzstr. 274;12437;Volkshochschul-Kolleg;52.46818;13.48463;39;0 %;;;;;;
09A06;Volkshochschule Treptow-Köpenick;Baumschulenstraße 79-81;12437;;52.464357;13.485266;6;0 %;;;;;;
09A07;Flatow-Oberschule;Birkenstraße 11;12559;;52.446605;13.602438;39;0 %;37;3 %;;;3 %;
09B03;Hermann-Scheer-Schule (OSZ Wirtschaft);Helmholtzstraße 37;12459;;52.466318;13.507320;83;4 %;85;8 %;6 %;;2 %;
09G01;Bouché-Schule (Grundschule);Bouchestr. 5-10;12435;Grundschule;52.49327;13.45252;30;13 %;38;13 %;13 %;;;
09G03;Schule am Heidekampgraben (Grundschule);Hänselstr. 14;12437;Grundschule;52.46872;13.47837;25;16 %;27;7 %;7 %;;;
09G04;Sonnenblumen-Schule (Grundschule);Radenzer Str. 16;12437;Grundschule;52.46163;13.48872;30;17 %;28;21 %;;21 %;;
09G05;Schule am Ginkobaum (Grundschule);Springbornstr. 250;12487;Grundschule;52.44014;13.4979;28;11 %;33;9 %;9 %;;;
09G06;Melli-Beese-Schule (Grundschule);Engelhardstr. 18;12487;Grundschule;52.44696;13.51031;23;13 %;26;27 %;;27 %;;
09G07;Schule an der alten Feuerwache (Grundschule);Schnellerstr. 31;12439;Grundschule;52.45459;13.51379;27;19 %;35;20 %;;17 %;3 %;
09G09;Heide-Schule (Grundschule);Florian-Geyer-Str. 87;12489;Grundschule;52.438648;13.543713;28;11 %;32;3 %;3 %;;;
09G10;Schule am Berg (Grundschule);Köpenicker Str. 31;12524;Grundschule;52.41866;13.538044;32;9 %;32;9 %;9 %;;;
09G11;Schule am Pegasuseck (Grundschule);Pegasuseck 5;12524;Grundschule;52.40638;13.5294;29;3 %;34;12 %;12 %;;;
09G13;Schule am Altglienicker Wasserturm (Grundschule);Sachsenstr. 22;12524;Grundschule;52.41079;13.55406;15;13 %;18;17 %;11 %;;6 %;
09G14;Schule am Buntzelberg (Grundschule);Schulzendorfer Str. 112;12526;Grundschule;52.40671;13.57427;29;0 %;;;;;;
09G15;Schule am Mohnweg (Grundschule);Mohnweg 20;12524;Grundschule;52.40733;13.53679;36;8 %;37;10 %;5 %;;5 %;
09G16;Wendenschloß-Schule (Grundschule);Köpenzeile 123;12557;Grundschule;52.42845;13.5953;23;9 %;23;13 %;4 %;;9 %;
09G17;Uhlenhorst-Grundschule;Wongrowitzer Steig 37;12555;Grundschule;52.467512;13.579352;26;4 %;;;;;;
09G18;Schule in der Köllnischen Vorstadt (Grundschule);Rudower Str. 201;12557;Grundschule;52.43946;13.56429;34;6 %;35;12 %;3 %;;9 %;
09G19;Amtsfeld-Schule (Grundschule);Pablo-Neruda-Str. 8;12559;Grundschule;52.44262;13.58891;32;9 %;32;16 %;16 %;;;
09G20;Müggelheimer Schule (Grundschule);Odernheimer Str. 28;12559;Grundschule;52.41469;13.66739;18;0 %;19;5 %;;;5 %;
09G21;Edison-Grundschule;Wattstr. 69-70;12459;Grundschule;52.46607;13.50886;39;10 %;43;12 %;12 %;;;
09G22;Schule an der Wuhlheide (Grundschule);Kottmeierstr. 2;12459;Grundschule;52.462579;13.524106;38;5 %;42;12 %;10 %;;2 %;
09G23;Hauptmann-von-Köpenick-Schule (Grundschule);Borgmannstr. 2;12555;Grundschule;52.45624;13.58095;23;13 %;24;8 %;8 %;;;
09G24;Müggelsee-Schule (Grundschule);Aßmannstr. 63;12587;Grundschule;52.45072;13.62746;21;5 %;22;5 %;5 %;;;
09G25;Müggelschlößchen-Schule (Grundschule);Alfred-Randt-Str. 56;12559;Grundschule;52.43884;13.6059;23;4 %;25;8 %;4 %;;4 %;
09G26;Schule an den Püttbergen (Grundschule);Fürstenwalder Allee 182;12589;Grundschule;52.43385;13.70158;28;4 %;28;7 %;;;7 %;
09G27;Friedrichshagener Schule (Grundschule);Peter-Hille-Str. 7;12587;Grundschule;52.454606;13.621399;29;7 %;29;10 %;7 %;;3 %;
09G29;Schmöckwitzer Insel-Schule (Grundschule);Adlergestell 776;12527;Grundschule;52.376769;13.647546;14;7 %;14;21 %;14 %;;7 %;
09G30;Kiefholz-Grundschule;Kiefholzstr. 45;12435;Grundschule;52.48626;13.45609;21;19 %;21;5 %;5 %;;;
09K01;Merian-Schule (Integrierte Sekundarschule);Hoernlestr. 80;12555;Integrierte Sekundarschule;52.46431;13.57643;78;1 %;77;6 %;5 %;;1 %;
09K02;Anna-Seghers-Schule (Gemeinschaftsschule);Radickestr. 43;12489;Integrierte Sekundarschule;52.435416;13.548246;91;2 %;89;4 %;3 %;;1 %;
09K03;Fritz-Kühn-Schule (Integrierte Sekundarschule);Dahmestr. 45;12526;Integrierte Sekundarschule;52.40141;13.5647;36;8 %;34;6 %;6 %;;;
09K04;Isaac-Newton-Schule (Integrierte Sekundarschule);Zeppelinstr. 76-80;12459;Integrierte Sekundarschule;52.4659;13.51817;34;0 %;34;12 %;9 %;;3 %;
09K05;Wilhelm-Bölsche-Schule (Integrierte Sekundarschule);Aßmannstr. 11;12587;Integrierte Sekundarschule;52.45109;13.61894;43;2 %;44;5 %;5 %;;;
09K06;Hans-Grade-Schule (Integrierte Sekundarschule);Heubergerweg 37;12487;Integrierte Sekundarschule;52.444484;13.499022;36;3 %;;;;;;
09K07;Sophie-Brahe-Schule (Gemeinschaftsschule);Am Plänterwald 17-23;12435;Integrierte Sekundarschule;52.48171;13.47804;66;5 %;67;1 %;1 %;;;
09K08;Schule an der Dahme (Integrierte Sekundarschule);Glienicker Str. 24 -30;12557;Integrierte Sekundarschule;52.44056;13.56727;39;0 %;;;;;;
09K09;Grünauer Schule (Gemeinschaftsschule);Walchenseestr. 40;12527;Integrierte Sekundarschule;52.419368;13.576124;73;4 %;80;1 %;1 %;;;
09S03;Albatros-Schule;Treskowallee 222;12459;"Förderschwerp.""Geistige Entwicklung""";52.471245;13.516154;29;3 %;31;13 %;;;13 %;
09S04;Ahorn-Schule;Peter-Hille-Str. 118;12587;Übrige Förderschwerpunkte;52.44782;13.61966;28;4 %;28;8 %;4 %;;4 %;
09S05;Schule am Altglienicker Wasserturm (Förderzentrum);Sachsenstr. 22;12524;"Förderschwerp.""Lernen""";52.41079;13.55406;7;0 %;;;;;;
09S06;6. Schule;Köpenicker Landstr. 185A;12437;Grundschule;52.473436;13.48707;30;0 %;34;9 %;6 %;;3 %;
09Y03;Archenhold-Gymnasium;Rudower Str. 7;12439;Gymnasium;52.4514;13.52271;49;2 %;;;;;;
09Y04;Anne-Frank-Gymnasium;Uranusstr. 15 -17;12524;Gymnasium;52.399327;13.525296;65;0 %;60;2 %;2 %;;;
09Y05;Alexander-von-Humboldt-Gymnasium;Oberspreestr. 173;12555;Gymnasium;52.445252;13.566972;49;2 %;47;4 %;2 %;;2 %;
09Y06;Gerhart-Hauptmann-Gymnasium;Bruno-Wille-Str. 37-45;12587;Gymnasium;52.45227;13.63269;54;0 %;55;2 %;;;2 %;
09Y10;Gebrüder-Montgolfier-Gymnasium;Ellernweg 20-22;12487;Gymnasium;52.44833;13.50379;63;0 %;69;2 %;1 %;;1 %;
09Y11;Emmy-Noether-Gymnasium;Pablo-Neruda-Str. 6-7;12559;Gymnasium;52.44275;13.588735;67;0 %;71;1 %;1 %;;;
10A04;Victor-Klemperer-Kolleg;Martha-Arendsee-Str. 15;12681;Volkshochschul-Kolleg;52.5363;13.53885;43;0 %;46;7 %;7 %;;;
10B01;Oscar-Tietz-Schule (OSZ Handel II);Marzahner Chaussee 231;12681;;52.530093;13.533162;78;0 %;79;1 %;1 %;;;
10B02;Rahel-Hirsch-Schule (OSZ Gesundheit/Medizin);Peter-Weiss-Gasse 8;12627;;52.538157;13.607874;84;4 %;87;2 %;1 %;;1 %;
10G01;Paavo-Nurmi-Grundschule;Schorfheidestr. 42;12689;Grundschule;52.54728;13.56405;27;11 %;26;15 %;15 %;;;
10G03;Selma-Lagerlöf-Grundschule;Wörlitzer Str. 31;12689;Marzahn-Hellersdorf;52.56767;13.57023;31;10 %;31;6 %;6 %;;;
10G04;Falken-Grundschule;Geraer Ring 2;12689;Grundschule;52.56593;13.5564;24;4 %;26;4 %;4 %;;;
10G05;Ebereschen-Grundschule;Borkheider Str. 27;12689;Grundschule;52.56407;13.57294;27;4 %;;;;;;
10G07;Karl-Friedrich-Friesen-Grundschule;Max-Herrmann-Str. 5;12687;Grundschule;52.55335;13.56415;29;7 %;31;13 %;13 %;;;
10G08;Wilhelm-Busch-Grundschule;Parsteiner Ring 24;12679;Grundschule;52.55325;13.58137;38;8 %;40;15 %;;15 %;;
10G09;Grundschule am Bürgerpark;Jan-Petersen-Str. 18B;12679;Grundschule;52.55062;13.56569;29;3 %;33;12 %;9 %;;3 %;
10G10;Peter-Pan-Grundschule;Stolzenhagener Str. 9;12679;Grundschule;52.548156;13.551672;40;10 %;39;13 %;10 %;;3 %;
10G11;Grundschule an der Mühle;Kienbergstr. 59;12685;Grundschule;52.53976;13.5657;28;7 %;32;6 %;6 %;;;
10G12;Grundschule an der Geißenweide;Amanlisweg 40;12685;Grundschule;52.537783;13.551797;31;3 %;28;4 %;4 %;;;
10G13;Johann-Strauss-Grundschule;Cecilienstr. 81;12683;Grundschule;52.52982;13.55966;38;0 %;;;;;;
10G14;Grundschule unter dem Regenbogen;Murtzaner Ring 37;12681;Grundschule;52.5301;13.54212;54;4 %;56;5 %;5 %;;;
10G16;Grundschule am Fuchsberg;Dankratweg 19;12683;Grundschule;52.49039;13.551484;25;0 %;;;;;;
10G17;Beatrix-Potter-Grundschule;Ludwigsfelder Str. 7;12629;Grundschule;52.54682;13.58926;42;10 %;42;14 %;12 %;;2 %;
10G18;Pusteblume-Grundschule;Kastanienallee 118;12627;Grundschule;52.54256;13.6001;41;17 %;43;19 %;;19 %;;
10G19;Bücherwurm-Schule am Weiher (Grundschule);Eilenburger Str. 1;12627;Grundschule;52.54068;13.62913;35;0 %;;;;;;
10G22;Kolibri-Grundschule;Schönewalder Str. 9;12627;Grundschule;52.532527;13.618558;45;7 %;54;19 %;;19 %;;
10G25;Grundschule am Schleipfuhl;Nossener Str. 85;12627;Grundschule;52.52913;13.6081;35;0 %;34;3 %;3 %;;;
10G26;Friedrich-Schiller-Grundschule;An der Schule 13-17;12623;Grundschule;52.5115;13.614782;18;0 %;;;;;;
10G28;Grundschule am Hollerbusch;Erich-Kästner-Str. 64;12619;Grundschule;52.52593;13.59512;45;7 %;48;6 %;6 %;;;
10G29;Grundschule an der Wuhle;Teterower Ring 79;12619;Grundschule;52.52118;13.58041;32;0 %;36;9 %;6 %;;3 %;
10G30;Mahlsdorfer Grundschule;Feldrain 47;12623;Grundschule;52.522102;13.628787;26;0 %;;;;;;
10G31;Franz-Carl-Achard-Grundschule;Flämingstr. 16-18;12621;Grundschule;52.56382;13.56592;25;4 %;30;10 %;10 %;;;
10G32;Kiekemal-Schule (Grundschule);Hultschiner Damm 219;12623;Grundschule;52.49407;13.60915;27;0 %;30;3 %;3 %;;;
10G33;Ulmen-Grundschule;Ulmenstr. 79-85;12621;Grundschule;52.48584;13.58006;34;3 %;40;8 %;8 %;;;
10G34;Schule am grünen Stadtrand;Geraer Ring 54;12689;"Förderschwerp.""Lernen""";52.56973;13.56193;17;0 %;;;;;;
10K01;Rudolf-Virchow-Schule;Glambecker Ring 90;12679;Integrierte Sekundarschule;52.5555;13.57573;97;6 %;104;5 %;5 %;;;
10K02;Ernst-Haeckel-Schule;Luckenwalder Str. 53;12629;Integrierte Sekundarschule;52.54322;13.58574;58;0 %;63;2 %;2 %;;;
10K03;Kerschensteiner-Schule;Golliner Str. 2;12689;Integrierte Sekundarschule;52.56681;13.579505;26;0 %;;;;;;
10K05;Jean-Piaget-Schule;Mittenwalder Str. 5;12629;Integrierte Sekundarschule;52.54542;13.59615;42;0 %;44;7 %;5 %;;2 %;
10K06;Georg-Klingenberg-Schule;Alberichstr. 24;12683;Integrierte Sekundarschule;52.49015;13.55783;32;9 %;34;3 %;3 %;;;
10K07;Caspar-David-Friedrich-Schule;Alte Hellersdorfer Str. 7;12629;Integrierte Sekundarschule;52.535223;13.591017;45;4 %;43;4 %;2 %;;2 %;
10K08;Johann-Julius-Hecker-Schule;Hohenwalder Str. 2;12689;Integrierte Sekundarschule;52.56993;13.57866;36;0 %;38;3 %;;;3 %;
10K09;Konrad-Wachsmann-Schule;Geithainer Str. 12;12627;Integrierte Sekundarschule;52.529047;13.622082;39;3 %;41;7 %;7 %;;;
10K10;Wolfgang-Amadeus-Mozart-Schule (Gemeinschaftsschule);Cottbusser Str. 23;12627;Integrierte Sekundarschule;52.53699;13.59663;68;10 %;79;16 %;;10 %;6 %;
10K11;Marcana-Schule (Gemeinschaftsschule);Flämingstr. 16-18;12689;Integrierte Sekundarschule;52.56382;13.56592;22;5 %;23;13 %;9 %;;4 %;
10K12;Gretel-Bergmann-Gemeinschaftsschule;Liebensteiner Str. 24;12687;;52.558094;13.560166;93;5 %;99;9 %;;8 %;1 %;
10S04;Schule am Pappelhof;Ketschendorfer Weg 21;12683;"Förderschwerp.""Geistige Entwicklung""";52.531157;13.553338;29;7 %;29;10 %;7 %;;3 %;
10S07;Schule am Rosenhain;Klingenthaler Str. 32;12627;Integrierte Sekundarschule;52.53;13.60199;39;0 %;43;5 %;5 %;;;
10S08;Schule am Mummelsoll;Eilenburger Str. 4;12627;"Förderschwerp.""Geistige Entwicklung""";52.540282;13.629414;30;3 %;;;;;;
10Y01;Tagore-Gymnasium;Sella-Hasse-Str. 25;12687;Gymnasium;52.55271;13.55658;65;3 %;67;4 %;3 %;;1 %;
10Y02;Otto-Nagel-Gymnasium;Schulstr. 11;12683;Gymnasium;52.511922;13.549199;62;2 %;62;5 %;5 %;;;
10Y03;Wilhelm-von-Siemens-Gymnasium;Allee der Kosmonauten 134;12683;Gymnasium;52.533571;13.551106;66;2 %;;;;;;
10Y08;Sartre-Gymnasium;Kyritzer Str. 103;12629;Gymnasium;52.54332;13.59106;53;4 %;56;4 %;2 %;;2 %;
10Y11;Melanchthon-Gymnasium;Adele-Sandrock-Str. 73-75;12627;Gymnasium;52.534367;13.618584;60;0 %;64;7 %;5 %;;2 %;
11A07;Schul- und Leistungssportzentrum Berlin (Sportforum);Fritz-Lesch-Straße 35;13053;;52.545961;13.476850;141;1 %;142;2 %;;;2 %;
11B01;Hein-Moeller-Schule (OSZ Energietechnik II);Allee der Kosmonauten 18;10315;;52.523374;13.512337;63;16 %;66;23 %;;20 %;3 %;
11B02;Max-Taut-Schule (OSZ Gebäude, Umwelt, Technik);Fischerstraße 36;10317;;52.501125;13.486998;102;10 %;100;15 %;;11 %;4 %;
11B04;Friedrich-List-Schule (OSZ Büromanagement und Wirtschaftssprachen);Marktstraße 2 - 3;10317;;52.503016;13.474535;86;2 %;84;8 %;2 %;;6 %;
11G01;Sonnenuhr-Grundschule;Franz-Jacob-Str. 33;10369;Grundschule;52.52933;13.46695;33;3 %;33;6 %;3 %;;3 %;
11G02;Grundschule am Roederplatz;Bernhard-Bästlein-Str. 22;10367;Grundschule;52.52899;13.48214;34;15 %;36;22 %;;19 %;3 %;
11G03;Grundschule im Gutspark;Josef-Orlopp-Str. 20;10367;Grundschule;52.52237;13.48307;33;6 %;29;3 %;3 %;;;
11G05;Grundschule auf dem lichten Berg;Atzpodienstr. 19;10365;Grundschule;52.51686;13.49421;30;17 %;32;12 %;9 %;;3 %;
11G06;Adam-Ries-Grundschule;Alt-Friedrichsfelde 66;10315;Grundschule;52.5114;13.53125;27;7 %;28;8 %;4 %;;4 %;
11G07;Hermann-Gmeiner-Grundschule;Harnackstr. 17;10365;Grundschule;52.5101;13.48594;28;18 %;33;30 %;;27 %;3 %;
11G08;Robinson-Grundschule;Wönnichstr. 7;10317;Grundschule;52.510047;13.50046;22;14 %;22;14 %;14 %;;;
11G09;Bürgermeister-Ziethen-Grundschule;Massower Str. 39;10315;Grundschule;52.50818;13.51665;37;14 %;34;9 %;9 %;;;
11G10;Schule im Ostseekarree (Grundschule);Barther Str. 27;13051;Grundschule;52.56409;13.50024;26;8 %;30;23 %;;23 %;;
11G11;Bernhard-Grzimek-Grundschule;Sewanstr. 184;10319;Grundschule;52.49572;13.51176;34;6 %;34;3 %;;;3 %;
11G12;Lew-Tolstoi-Grundschule;Römerweg 120;10318;Grundschule;52.49199;13.53678;36;6 %;38;13 %;8 %;;5 %;
11G13;Karlshorster Grundschule;Lisztstr. 6;10318;Grundschule;52.48925;13.51994;36;8 %;42;12 %;10 %;;2 %;
11G14;Richard-Wagner-Grundschule;Ehrenfelsstr. 36;10318;Grundschule;52.479326;13.53427;40;5 %;37;3 %;;;3 %;
11G16;Schule an der Victoriastadt;Nöldnerstr. 44;10317;Grundschule;52.50159;13.48054;29;0 %;;;;;;
11G17;Brodowin-Grundschule;Liebenwalder Str. 22;13055;Grundschule;52.53738;13.50067;39;8 %;39;8 %;8 %;;;
11G18;Grundschule am Wilhelmsberg;Sandinostr. 8;13055;Grundschule;52.537206;13.483664;35;9 %;45;20 %;;16 %;4 %;
11G19;Obersee-Grundschule;Roedernstr. 69-72;13053;Grundschule;52.543711;13.488079;27;11 %;25;16 %;16 %;;;
11G21;Schule Am Faulen See;Degnerstr. 71;13053;Grundschule;52.5521;13.49837;27;4 %;29;7 %;7 %;;;
11G22;Martin-Niemöller-Grundschule;Am Breiten Luch 5;13053;Grundschule;52.56339;13.51209;45;13 %;50;22 %;;22 %;;
11G23;Friedrichsfelder Grundschule;Lincolnstr. 67;10315;Grundschule;52.503;13.50355;33;9 %;38;24 %;;24 %;;
11G25;Grundschule am Wäldchen;Wustrower Str. 28;13051;Grundschule;52.56846;13.50628;33;6 %;34;3 %;;;3 %;
11G26;Randow-Grundschule;Randowstr. 45;13057;Grundschule;52.56405;13.51904;25;8 %;32;22 %;;22 %;;
11G28;Feldmark-Schule (Grundschule);Wartiner Str. 23;13057;Grundschule;52.569161;13.531731;45;9 %;49;8 %;8 %;;;
11G29;Matibi-Grundschule;Prendener Str. 15;13059;Grundschule;52.5724;13.52072;37;3 %;42;2 %;2 %;;;
11G31;Schmetterlings-Grundschule;Dolgenseestr. 60;10319;Grundschule;52.49417;13.50546;18;11 %;18;22 %;22 %;;;
11G32;32. Schule (Grundschule);Bernhard-Bästlein-Straße 56;10367;;52.531794;13.480092;10;0 %;16;44 %;19 %;;25 %;
11K01;Alexander-Puschkin-Schule;Massower Str. 37;10315;Integrierte Sekundarschule;52.50795;13.51556;42;0 %;;;;;;
11K02;Mildred-Harnack-Schule;Schulze-Boysen-Str. 12;10365;Integrierte Sekundarschule;52.511321;13.481213;73;4 %;76;1 %;1 %;;;
11K04;Gutenberg-Schule;Sandinostr. 10;13055;Integrierte Sekundarschule;52.53573;13.48743;72;0 %;;;;;;
11K05;Fritz-Reuter-Schule;Prendener Str. 29;13059;Integrierte Sekundarschule;52.570237;13.52104;66;3 %;65;7 %;5 %;;2 %;
11K06;Schule am Rathaus;Rathausstr. 8;10367;Integrierte Sekundarschule;52.515892;13.48038;34;0 %;34;3 %;3 %;;;
11K07;Vincent-van-Gogh-Schule (Integrierte Sekundarschule);Wustrower Str. 26;13051;Integrierte Sekundarschule;52.5678;13.50702;42;5 %;40;13 %;13 %;;;
11K08;George-Orwell-Schule;Sewanstr. 223;10319;Integrierte Sekundarschule;52.496354;13.514933;36;3 %;42;2 %;2 %;;;
11K09;Philipp-Reis-Schule (Integrierte Sekundarschule);Werneuchener Str. 15;13055;Integrierte Sekundarschule;52.53952;13.49572;39;8 %;47;6 %;6 %;;;
11K10;Grüner Campus Malchow (Gemeinschaftsschule);Malchower Chaussee 2;13051;Integrierte Sekundarschule;52.569831;13.479469;140;14 %;153;16 %;;15 %;1 %;
11K11;Paul-Schmidt-Schule (Integrierte Sekundarschule);Malchower Weg 54;13053;Integrierte Sekundarschule;52.55475;13.50438;42;0 %;43;4 %;2 %;;2 %;
11K12;Paul-und-Charlotte-Kniese-Schule (Gemeinschaftsschule);Erich-Kurz-Str. 6-10;10319;"Förderschwerp.""Geistige Entwicklung""";52.498846;13.519748;60;12 %;61;13 %;;13 %;;
11S02;Schule am Fennpfuhl;Alfred-Jung-Str. 19;10369;"Förderschwerp.""Lernen""";52.52392;13.4769;25;0 %;;;;;;
11S04;Paul-und-Charlotte-Kniese-Schule;Erich-Kurz-Str. 6-10;10319;Übrige Förderschwerpunkte;52.498846;13.519748;9;11 %;11;9 %;9 %;;;
11S05;Schule am grünen Grund;Herzbergstr. 79;10365;Übrige Förderschwerpunkte;52.52822;13.50858;33;24 %;28;18 %;18 %;;;
11S06;Selma-Lagerlöf-Schule;Bernhard-Bästlein-Str. 56;10367;Übrige Förderschwerpunkte;52.53183;13.47998;24;4 %;22;5 %;5 %;;;
11S07;Carl-von-Linné-Schule;Paul-Junius-Str. 15;10367;Berufsschule mit sonderpäd. Aufgaben;52.5217;13.47301;77;5 %;78;5 %;5 %;;;
11S08;Schule Am Breiten Luch;Am Breiten Luch 19;13053;Grundschule;52.5627;13.5136;28;14 %;34;30 %;15 %;;15 %;
