BSN;Schulname;Strasse;PLZ;Schulart;lat;lng;AlleLehrkraefte_2017;AlleQ_2017;AlleLehrkraefte_2018;AlleQS_2018;Q1_5_2018;Q6_x_2018;S1_5_2018;S6_x_2018
05Y05;Lily-Braun-Gymnasium;Münsingerstr. 2;13597;Gymnasium;52.538567;13.199029;58;5 %;57;2 %;2 %;;;
06A05;Volkshochschule Steglitz-Zehlendorf;Goethestr. 9-11;12207;;52.429216;13.316553;19;0 %;17;6 %;6 %;;;
06B01;Peter-Lenné-Schule (OSZ Natur und Umwelt);Hartmannsweilerweg 29;14163;;52.441969;13.248907;85;2 %;83;10 %;5 %;;5 %;
06B02;Louise-Schroeder-Schule (OSZ Bürowirtschaft und Verwaltung);Lippstädter Str. 9-11;12207;;52.411247;13.305736;146;1 %;139;1 %;;;1 %;
06B03;OSZ Bürowirtschaft I;Ostpreußendamm 40;12207;;52.430294;13.317130;77;0 %;83;3 %;1 %;;2 %;
06B04;Wilhelm-Ostwald-Schule (OSZ Gestaltung);Immenweg 6;12169;;52.453366;13.345392;99;3 %;95;7 %;5 %;;2 %;
06G01;Nord-Grundschule;Potsdamer Str. 7;14163;Grundschule;52.435951;13.25558;30;7 %;32;6 %;6 %;;;
06G02;Süd-Grundschule;Claszeile 56;14165;Grundschule;52.4189;13.25839;28;4 %;26;8 %;4 %;;4 %;
06G03;Johannes-Tews-Grundschule;Wasgenstr. 50;14129;Grundschule;52.43162;13.21262;31;3 %;28;4 %;4 %;;;
06G04;Erich-Kästner-Grundschule;Bachstelzenweg 2-8;14195;Grundschule;52.458141;13.283199;27;4 %;29;7 %;7 %;;;
06G05;Conrad-Schule (Grundschule);Schulstr. 4;14109;Grundschule;52.415181;13.146695;30;7 %;29;7 %;7 %;;;
06G06;Mühlenau-Grundschule;Molsheimer Str. 7;14195;Grundschule;52.443206;13.276002;50;4 %;50;2 %;2 %;;;
06G07;Zinnowwald-Grundschule;Wilskistr. 78;14163;Grundschule;52.44543;13.246529;33;9 %;;;;;;
06G08;Schweizerhof-Grundschule;Leo-Baeck-Str. 28-30;14167;Grundschule;52.42278;13.26571;33;3 %;34;3 %;3 %;;;
06G09;Dreilinden-Grundschule;Dreilindenstr. 65;14109;Grundschule;52.4205;13.18369;21;5 %;21;5 %;5 %;;;
06G10;Grundschule am Buschgraben;Ludwigsfelder Str. 43-47;14165;Grundschule;52.42192;13.242834;21;5 %;20;5 %;5 %;;;
06G12;Quentin-Blake-Grundschule;Hüttenweg 40;14195;Grundschule;52.454097;13.27055;34;6 %;39;13 %;5 %;;8 %;
06G14;Sachsenwald-Grundschule;Sachsenwaldstr. 20-21;12157;Grundschule;52.46151;13.3354;34;3 %;35;6 %;3 %;;3 %;
06G15;Dunant-Grundschule;Gritznerstr. 19-23;12163;Grundschule;52.46486;13.31818;36;0 %;40;8 %;8 %;;;
06G16;Rothenburg-Grundschule;Rothenburgstr. 18;12165;Grundschule;52.45398;13.31302;21;5 %;23;17 %;17 %;;;
06G17;Grundschule am Insulaner;Hanstedter Weg 11-15;12169;Grundschule;52.45185;13.34956;34;6 %;33;9 %;6 %;;3 %;
06G18;Athene-Grundschule;Curtiusstr. 37;12205;Grundschule;52.440565;13.290632;37;8 %;37;8 %;5 %;;3 %;
06G20;Alt-Lankwitzer Grundschule;Schulstr. 17-21;12247;Grundschule;52.437023;13.351096;31;3 %;30;7 %;7 %;;;
06G21;Paul-Schneider-Grundschule;Seydlitzstr. 30-34;12249;Grundschule;52.431002;13.341243;31;3 %;33;9 %;9 %;;;
